"id","booking_id","building_number","floor_number","room_number","status","checkout_date","checkout_time","created_at","updated_at"
"1","1","1","1","219","0",NULL,NULL,"2024-12-29 08:40:03","2024-12-29 08:40:03"
"2","7","1","1","101","1","2024-12-29","10:43:00","2024-12-29 10:42:13","2024-12-29 10:43:29"
"3","10","NIL","1","101","0",NULL,NULL,"2024-12-29 11:01:15","2024-12-29 11:01:15"
"4","10","NIL","1","108","0",NULL,NULL,"2024-12-29 11:01:15","2024-12-29 11:01:15"
"5","18","NIL","1ST","120","0",NULL,NULL,"2024-12-29 12:35:32","2024-12-29 12:35:32"
"6","18","NIL","1ST","121","0",NULL,NULL,"2024-12-29 12:35:32","2024-12-29 12:35:32"
"7","20","1","2ND","1002","0",NULL,NULL,"2024-12-29 12:55:17","2024-12-29 12:55:17"
"8","20","1","2ND","1004","0",NULL,NULL,"2024-12-29 12:55:17","2024-12-29 12:55:17"
"9","21","NIL","1","203","0",NULL,NULL,"2024-12-29 13:07:19","2024-12-29 13:07:19"
"10","22","1","3","309","0",NULL,NULL,"2024-12-29 13:16:19","2024-12-29 13:16:19"
"11","23","NIL","1ST","205","0",NULL,NULL,"2024-12-29 13:19:38","2024-12-29 13:19:38"
"12","24","1","2ND","1001","0",NULL,NULL,"2024-12-29 13:39:49","2024-12-29 13:39:49"
"13","25","NIL","1ST","205","0",NULL,NULL,"2024-12-29 13:47:56","2024-12-29 13:47:56"
"14","26","1","2ND","1003","1","2024-12-29","14:07:00","2024-12-29 13:48:04","2024-12-29 14:07:27"
"15","27","123","3","301","0",NULL,NULL,"2024-12-29 14:06:43","2024-12-29 14:06:43"
"16","28","1","2ND","1006","0",NULL,NULL,"2024-12-29 14:07:14","2024-12-29 14:07:14"
"17","28","1","2ND","3006","0",NULL,NULL,"2024-12-29 14:07:14","2024-12-29 14:07:14"
"18","30","111","1","116","1","2024-12-30","19:21:00","2024-12-29 14:35:02","2024-12-30 19:21:39"
"19","35","1","1","107","0",NULL,NULL,"2024-12-29 15:08:23","2024-12-29 15:08:23"
"20","49","NIL","3RD","405","0",NULL,NULL,"2024-12-30 05:26:29","2024-12-30 05:26:29"
"21","51","339","2","6","0",NULL,NULL,"2024-12-30 06:16:35","2024-12-30 06:16:35"
"22","52","009","1","111","0",NULL,NULL,"2024-12-30 06:27:47","2024-12-30 06:27:47"
"23","62","NIL","1ST","201","0",NULL,NULL,"2024-12-30 08:50:33","2024-12-30 08:50:33"
"24","64","NIL","2ND","303","0",NULL,NULL,"2024-12-30 08:59:12","2024-12-30 08:59:12"
"25","64","NIL","2ND","304","0",NULL,NULL,"2024-12-30 08:59:12","2024-12-30 08:59:12"
"26","70","HOTEL BENSEN","2ND","1001","0",NULL,NULL,"2024-12-30 09:23:57","2024-12-30 09:23:57"
"27","75","HOTEL BENSEN","2ND","1006","0",NULL,NULL,"2024-12-30 09:46:30","2024-12-30 09:46:30"
"28","75","HOTEL BENSEN","4TH","3006","0",NULL,NULL,"2024-12-30 09:46:30","2024-12-30 09:46:30"
"29","77","201","1","201","1","2024-12-30","15:13:00","2024-12-30 09:51:22","2024-12-30 15:13:22"
"30","78","HOTEL BENSEN","3RD","2002","0",NULL,NULL,"2024-12-30 10:01:08","2024-12-30 10:01:08"
"31","79","NIL","GR","101","0",NULL,NULL,"2024-12-30 10:08:06","2024-12-30 10:08:06"
"32","79","NIL","GR","102","0",NULL,NULL,"2024-12-30 10:08:06","2024-12-30 10:08:06"
"33","83","HOTEL BENSEN","3RD","2003","0",NULL,NULL,"2024-12-30 10:19:07","2024-12-30 10:19:07"
"34","85","NIL","3RD","404","0",NULL,NULL,"2024-12-30 10:22:49","2024-12-30 10:22:49"
"35","88","1","3","305","0",NULL,NULL,"2024-12-30 10:29:32","2024-12-30 10:29:32"
"36","101","HOTEL BENSEN","3RD","2009","0",NULL,NULL,"2024-12-30 11:20:06","2024-12-30 11:20:06"
"37","115","HOTEL BENSEN","3RD","2001","0",NULL,NULL,"2024-12-30 14:20:21","2024-12-30 14:20:21"
"38","115","HOTEL BENSEN","4TH","3001","0",NULL,NULL,"2024-12-30 14:20:21","2024-12-30 14:20:21"
"39","118","HOTEL BENSEN","2ND","1009","0",NULL,NULL,"2024-12-30 14:38:18","2024-12-30 14:38:18"
"40","119","204","2","204","0",NULL,NULL,"2024-12-30 14:41:25","2024-12-30 14:41:25"
"41","119","204","2","205","0",NULL,NULL,"2024-12-30 14:41:25","2024-12-30 14:41:25"
"42","120","401","4","401","0",NULL,NULL,"2024-12-30 14:47:43","2024-12-30 14:47:43"
"43","126","307","3","307","0",NULL,NULL,"2024-12-30 15:24:28","2024-12-30 15:24:28"
"44","126","309","3","309","0",NULL,NULL,"2024-12-30 15:24:28","2024-12-30 15:24:28"
"45","134","NIL","1ST","203","0",NULL,NULL,"2024-12-31 02:57:54","2024-12-31 02:57:54"
"46","134","NIL","1ST","204","0",NULL,NULL,"2024-12-31 02:57:54","2024-12-31 02:57:54"
"47","136","1","4TH","504","0",NULL,NULL,"2024-12-31 03:53:07","2024-12-31 03:53:07"
"48","136","1","4TH","509","0",NULL,NULL,"2024-12-31 03:53:07","2024-12-31 03:53:07"
"49","180","NIL","1ST","206","0",NULL,NULL,"2024-12-31 07:26:37","2024-12-31 07:26:37"
"50","184","1","1st","114","0",NULL,NULL,"2024-12-31 07:57:10","2024-12-31 07:57:10"
"51","193","HOTEL BENSEN","2ND","1003","0",NULL,NULL,"2024-12-31 08:46:37","2024-12-31 08:46:37"
"52","193","HOTEL BENSEN","2ND","1004","0",NULL,NULL,"2024-12-31 08:46:37","2024-12-31 08:46:37"
"53","194","HOTEL BENSEN","2ND","1002","0",NULL,NULL,"2024-12-31 09:05:01","2024-12-31 09:05:01"
"54","194","HOTEL BENSEN","3RD","2006","0",NULL,NULL,"2024-12-31 09:05:01","2024-12-31 09:05:01"
"55","200","HOTEL BENSEN","4TH FLOOR","3002","0",NULL,NULL,"2024-12-31 09:55:38","2024-12-31 09:55:38"
"56","200","HOTEL BENSEN","4TH","3003","0",NULL,NULL,"2024-12-31 09:55:38","2024-12-31 09:55:38"
"57","200","HOTEL BENSEN","4TH","3004","0",NULL,NULL,"2024-12-31 09:55:38","2024-12-31 09:55:38"
"58","200","HOTEL BENSEN","4TH","3007","0",NULL,NULL,"2024-12-31 09:55:38","2024-12-31 09:55:38"
"59","203","HOTEL BENSEN","2ND","1005","0",NULL,NULL,"2024-12-31 10:03:12","2024-12-31 10:03:12"
